Имя;Региональность;Код региона;GMT
Амурская;Область;28;9
Архангельская;Область;29;3
Астраханская;Область;30;3
Белгородская;Область;31;3
Брянская;Область;32;3
Владимирская;Область;33;3
Волгоградская;Область;34;3
Вологодская;Область;35;3
Воронежская;Область;36;3
Ивановская;Область;37;3
Иркутская;Область;38;8
Калининградская;Область;39;2
Калининградская;Область;91;2
Калужская;Область;40;3
Камчатская;Область;41;12
Кемеровская;Область;42;7
Кировская;Область;43;3
Костромская;Область;44;3
Курганская;Область;45;5
Курская;Область;46;3
Ленинградская;Область;47;3
Липецкая;Область;48;3
Магаданская;Область;49;11
Москва;Город;77;3
Москва;Город;97;3
Москва;Город;99;3 
Московская;Область;50;3
Московская;Область;90;3
Мурманская;Область;51;3
Нижегородская;Область;52;3
Новгородская;Область;53;3
Новосибирская;Область;54;6
Омская;Область;55;6
Оренбургская;Область;56;5
Орловская;Область;57;3 
Пензенская;Область;58;3
Пермская;Область;59;5
Псковская;Область;60;3
Ростовская;Область;61;3
Рязанская;Область;62;3
Самарская;Область;63;4
Санкт-Петербург;Город;78;3
Санкт-Петербург;Город;98;3
Саратовская;Область;64;3
Сахалинская;Область;65;10
Свердловская;Область;66;5
Смоленская;Область;67;3
Тамбовская;Область;68;3
Тверская;Область;69;3
Томская;Область;70;6 
Тульская;Область;71;3 
Тюменская;Область;72;5 
Ульяновская;Область;73;3 
Челябинская;Область;74;5 
Читинская;Область;75;9 
Ярославская;Область;76;3 
Адыгея;Республика;1;3
Алтай;Республика;4;6
Башкортостан;Республика;2;5
Бурятия;Республика;3;8
Дагестан;Республика;5;3
Ингушетия;Республика;6;3
Кабардино-Балкарская;Республика;7;3
Калмыкия;Республика;8;3
Карачаево-Черкесская;Республика;9;3
Карелия;Республика;10;3
Коми;Республика;11;3
Крым;Республика;82;3
Мари Эл;Республика;12;3
Мордовия;Республика;13;3
Севастополь;Город;92;3
Северная Осетия-Алания;Республика;15;3
Саха (Якутия);Республика;14;10
Татарстан;Республика;16;3
Тыва (Тува);Республика;17;7
Удмуртская;Республика;18;4
Хакасия;Республика;19;7
Чечня;Республика;20;3
Чечня;Республика;95;3
Чувашия;Республика;21;3
Алтайский;Край;22;6
Краснодарский;Край;23;3
Красноярский;Край;24;7
Приморский;Край;25;10
Ставропольский;Край;26;3
Хабаровский;Край;27;10
Еврейская автономная область;Автономный округ;79;10
Агинский Бурятский;Автономный округ;80;9
Коми-Пермяцкий;Автономный округ;81;5
Корякский;Автономный округ;82;12
Ненецкий;Автономный округ;83;3
Таймырский (Долгано-Ненецкий);Автономный округ;84;7
Усть-Ордынский Бурятский;Автономный округ;85;8
Ханты-Мансийский;Автономный округ;86;5
Чукотский;Автономный округ;87;12
Эвенкский;Автономный округ;88;7
Ямало-Ненецкий;Автономный округ;89;5
